"file","out","in","degree"
"Informe_final/Desarrollo_App/sesiones/SESSION_LOG.md","0","0","0"
"Informe_final/Desarrollo_App/TECHNOLOGY_STACK.md","0","0","0"
"Informe_final/Desarrollo_App/VALIDACION_FUNCIONAL_FINA_2026-04-09.md","0","0","0"
"Informe_final/PROMPT_AUDITORIA_DEEP_RESEARCH_INFORME_FINAL.md","0","0","0"
"portafolio_personal/assets_fuente/README.md","0","0","0"
"portafolio_personal/herramientas_fuente/README.md","0","0","0"
"portafolio_personal/README.md","0","0","0"
"Propuesta/Audits/AUDITORIA_FINAL_PROPUESTA_2026-04-14.md","0","0","0"
"Propuesta/Audits/AUDITORIA_FORMATO_PROPUESTA_2026-04-12.md","0","0","0"
"Propuesta/Audits/deep-research-report (1).md","0","0","0"
"Propuesta/Audits/deep-research-report (2).md","0","0","0"
"Propuesta/Audits/deep-research-report.md","0","0","0"
"Propuesta/justificacion/bibliografia.md","0","0","0"
"Propuesta/justificacion/presentation_design_prompt.md","0","0","0"
"Propuesta/justificacion/sustentacion.md","0","0","0"
"Propuesta/RESPUESTA_ASESOR_PROPUESTA_2026-04.md","0","0","0"
"README.md","0","0","0"
"trash/desarrollo/unity_project/WEBGL_BUILD_GUIDE.md","0","0","0"
"trash/docs/INSTALL_STATUS.md","0","0","0"
"trash/Informe_final/presentation/DEMO_SCRIPT.md","0","0","0"
".agent/skills/arch_guard/SKILL.md","0","1","1"
".agent/skills/graph_builder/SKILL.md","0","1","1"
".agent/skills/math_solver/SKILL.md","0","1","1"
".agent/skills/scene_architect/SKILL.md","0","1","1"
".agent/skills/tech_writer/SKILL.md","0","1","1"
".agent/skills/ui_validator/SKILL.md","0","1","1"
".agent/skills/unity_asset_auditor/SKILL.md","0","1","1"
".agent/skills/unity_observer/SKILL.md","0","1","1"
".agent/skills/unity_ui_pro/SKILL.md","0","1","1"
".agent/skills/uss_linter/SKILL.md","0","1","1"
".agent/skills/ux_auditor/SKILL.md","0","1","1"
".agent/skills/webgl_optimizer/SKILL.md","0","1","1"
".agent/skills/webgl_scanner/SKILL.md","0","1","1"
".agent/skills/wolfram-thermal-verifier/references/wolfram-workflow.md","0","1","1"
".agent/skills/wolfram-thermal-verifier/SKILL.md","0","1","1"
".agent/skills/workflow_generator/SKILL.md","0","1","1"
"Cerebro_Digital/Wiki/Concepts/Fisica_Termica_Dron.md","1","0","1"
"Cerebro_Digital/Wiki/Entities/Fastener_Builder_Addon.md","1","0","1"
"Informe_final/chapters/ANEXO_ROADMAP_VERSION_BILINGUE_ES_EN_2026-04-15.md","0","1","1"
"Informe_final/Desarrollo_App/Audits/07_Diagrams_Workflow/Actua como principal investigador experto en visua.md","0","1","1"
"Informe_final/Desarrollo_App/Audits/07_Diagrams_Workflow/AUDITORIA_DIAGRAMAS_Y_CORRELACION_2026-04-12.md","0","1","1"
